天使爱美丽,,,
傲慢与偏见,天使爱美丽,,
天使爱美丽,傲慢与偏见,,
穆赫兰道,,,
放牛班的春天,,,
放牛班的春天 Les choristes,,,
触不可及 Intouchables,,,
傲慢与偏见,,,
钢琴家 The Pianist,战争之王,,
普罗旺斯的夏天,,,
天使爱美丽,,,
穆赫兰道,,,
傲慢与偏见,天使爱美丽,,
何以为家 كفرناحوم,,,
天使爱美丽,傲慢与偏见,,
傲慢与偏见,天使爱美丽,,
战争之王,,,
傲慢与偏见,,,
天使爱美丽,傲慢与偏见,,
穆赫兰道,,,
燃烧女子的肖像,每分钟120击,,
天使爱美丽,,,
天使爱美丽,,,
天使爱美丽,,,
天使爱美丽,,,
天使爱美丽,傲慢与偏见,,
天使爱美丽,傲慢与偏见,,
穆赫兰道,,,
天使爱美丽,,,
穆赫兰道,,,
穆赫兰道,,,
上帝之城 Cidade de Deus,,,
请以你的名字呼唤我 Call Me by Your Name,燃烧女子的肖像,每分钟120击,
战争之王,,,
穆赫兰道,,,
爱在日落黄昏时 Before Sunset,傲慢与偏见,天使爱美丽,
傲慢与偏见,天使爱美丽,,
傲慢与偏见,天使爱美丽,,
天使爱美丽,,,
傲慢与偏见,天使爱美丽,,
天使爱美丽 Le fabuleux destin d'Amélie Poulain,两小无猜,傲慢与偏见,
穆赫兰道,,,
穆赫兰道,,,
放牛班的春天,,,
飓风营救,,,
战争之王,,,
傲慢与偏见,,,
傲慢与偏见,两小无猜,,
天使爱美丽,,,
每分钟120击,燃烧女子的肖像,,
狐狸与我,,,
我在伊朗长大 Persepolis,魔术师,,
蓝色大门 藍色大門,两小无猜,天使爱美丽,
悲惨世界,,,
玫瑰人生,,,
天使爱美丽,,,
傲慢与偏见,天使爱美丽,,
傲慢与偏见,,,
天使爱美丽,,,
傲慢与偏见,天使爱美丽,,
天使爱美丽,傲慢与偏见,,
傲慢与偏见,,,
天使爱美丽,傲慢与偏见,,
燃烧女子的肖像,每分钟120击,,
天使爱美丽,,,
刺猬的优雅,天使爱美丽,,
天使爱美丽,,,
天使爱美丽,傲慢与偏见,,
天使爱美丽,,,
请以你的名字呼唤我 Call Me by Your Name,燃烧女子的肖像,每分钟120击,
爱在日落黄昏时 Before Sunset,傲慢与偏见,天使爱美丽,
将来的事,,,
沉静如海 Le silence de la mer,,,
傲慢与偏见,天使爱美丽,,
傲慢与偏见,天使爱美丽,,
天使爱美丽,,,
傲慢与偏见,天使爱美丽,,
傲慢与偏见,天使爱美丽,,
天使爱美丽,,,
